"id","updated_at","carbs","dietary_fiber","energy_kcal","energy_kj","fat","name","net_carbs","preparation_time_in_minutes","protein","saturated_fats","servings","sugar","total_fats","total_grams","categories"
117,2024-10-24 06:52:02.755,16.3457,2.3535875,643.2311250000001,0.0,50.0285875,Σαγανάκι γαρίδες,0.0,35,31.669550000000005,0.09362499999999999,2,5.562989999999999,50.0285875,299.0875,"2,4"
601,2025-02-14 08:57:58.351,43.5,3.1,317.6,0.0,12.39,Σαλάτα ζυμαρικών με πιπεριά και φέτα,0.0,10,9.65,0.31,1,5.3100000000000005,12.39,260.0,"0"
228,2025-04-09 07:25:39.031,16.74775,2.879,292.26,0.0,25.354999999999997,Σαλάτα λάχανο,0.0,30,0.986,3.5471250000000007,4,13.108749999999999,25.354999999999997,163.5,"2,4"
628,2025-04-11 07:11:47.409,12.448,3.2299999999999995,49.425000000000004,0.0,0.355,Σαλάτα με αγγούρι και καρότο,0.0,5,1.6349999999999998,0.19750000000000004,1,5.07,0.355,190.5,"2,4"
254,2025-04-10 08:06:33.542,10.793700000000001,2.25,167.166,0.0,14.05,Σαλάτα με αγγούρι και τομάτα,0.0,5,2.175,2.0985000000000005,1,5.8013650000000005,14.05,289.15,"1,2,4"
227,2024-11-28 15:02:00.574,60.237466666666656,6.874725000000001,274.8140833333333,0.0,3.0940583333333334,Σαλάτα με βραστά λαχανικά,0.0,10,5.292366666666666,0.023083333333333334,3,50.85199333333333,3.0940583333333334,196.39166666666665,"2,4"
630,2025-04-11 07:40:00.905,28.416700000000002,8.43,245.09099999999998,0.0,14.655,Σαλάτα με βραστό κολοκύθι και παντζάρι,0.0,40,5.485,2.1085000000000003,1,18.371365,14.655,404.65,"2,4"
642,2025-05-21 11:18:24.967,11.742200000000002,6.5603750000000005,311.22225000000003,0.0,26.698875,"Σαλάτα με γαρίδες, αβοκάντο και αγγούρι",0.0,10,10.8175,3.9207500000000004,1,1.9921150000000003,26.698875,222.025,"2,4"
141,2024-09-07 10:22:05.810,124.84019999999998,12.1510875,706.283625,0.0,18.6950875,Σαλάτα με κινόα και παντζάρι,0.0,30,15.840799999999998,1.8546250000000002,2,44.601490000000005,18.6950875,456.5875,"2,4"
611,2025-04-10 07:14:53.404,23.22935,4.21,162.78300000000002,0.0,7.215,Σαλάτα με λάχανο και καρότο,0.0,5,1.2550000000000001,1.0255,2,19.4156825,7.215,202.075,"2,4"
617,2025-04-09 07:55:33.774,8.9817,3.487,175.78099999999998,0.0,15.1735,Σαλάτα με μαρούλι,0.0,5,1.9835,1.9500000000000004,2,2.2313650000000003,15.1735,160.4,"2,4"
627,2025-04-11 06:54:05.636,8.565800000000001,2.17,113.794,0.0,9.419999999999998,Σαλάτα με μαρούλι και αγγούρι,0.0,5,1.8649999999999998,1.4140000000000001,1,2.80091,9.419999999999998,174.6,"2,4"
612,2025-04-09 07:55:04.795,11.6985,2.0656000000000003,52.625,0.0,0.33999999999999997,Σαλάτα με μαρούλι και βαλσάμικο,0.0,5,1.97,0.026999999999999996,1,9.166,0.33999999999999997,146.5,"2,4"
259,2024-10-03 13:32:39.295,124.47,15.490000000000002,623.0000000000001,0.0,6.63,"Σαλάτα με μαρούλι, κοτόπουλο και καλαμπόκι",0.0,10,16.02,0.018,2,64.74,6.63,290.0,"1,2,3,4"
162,2024-09-11 07:26:58.894,59.241200000000006,9.8924,520.0205000000001,0.0,24.8909,Σαλάτα με μοτσαρέλα και αβοκάντο,0.0,10,19.175050000000002,5.635000000000001,2,25.903865,24.8909,342.65,"2,3,4"
647,2025-05-22 08:07:05.420,7.1479,1.859375,172.97324999999998,0.0,18.885375,"Σαλάτα με ντοματίνια, πέστο και φέτα",0.0,5,2.8179999999999996,1.07225,1,4.368705,18.885375,160.925,"2,4"
208,2024-10-05 07:49:10.703,17.28885,5.64195,162.74025,0.0,9.1017,Σαλάτα με παντζάρια,0.0,25,5.594024999999999,0.0045000000000000005,2,9.300682499999999,9.1017,161.575,"2,4"
199,2024-09-13 08:57:50.936,27.4197,2.539275,153.18474999999998,0.0,4.189775000000001,Σαλάτα με ρόκα και παρμεζάνα,0.0,5,3.22905,0.08574999999999999,1,20.475615,4.189775000000001,194.225,"2,3,4"
648,2025-05-22 08:10:52.844,12.897900000000002,7.619375000000001,203.37324999999998,0.0,17.480375,"Σαλάτα με ρόκα, ντοματίνια και αβοκάντο",0.0,5,3.433,2.49825,1,3.5737050000000004,17.480375,211.425,"2,4"
625,2025-04-10 14:20:23.385,4.5643,2.130375,104.00025000000001,0.0,9.538874999999999,"Σαλάτα με ρόκα, σπανάκι και μαρούλι",0.0,5,2.4524999999999997,1.33775,1,0.78166,9.538874999999999,95.475,"2,4"
