"id","created_at","updated_at","basic","carbs","default_amount","default_measurement","dietary_fiber","energy_kcal","energy_kj","food_group","name","protein","saturated_fats","source_database","sugar","total_fats","density"
943,2024-08-22 14:24:38.786,2024-09-04 12:14:21.018,false,0.5,1.0,SLICES,0.0,380.0,1589.92,,Μπέϊκον,27.0,0.0,AB,0.5,30.0,1.0
944,2024-08-22 14:24:38.814,2024-09-04 12:14:21.056,false,3.0,1.0,SLICES,0.0,95.0,397.48,,Γαλοπούλα Βραστή,18.5,0.0,AB,0.6,1.0,1.0
945,2024-08-22 14:24:38.832,2024-09-04 12:14:21.074,false,0.0,1.0,SLICES,0.0,273.0,1142.232,,Γαλοπούλα Καπνιστή,30.0,0.0,AB,0.0,17.0,1.0
946,2024-08-22 14:24:38.855,2024-09-04 12:14:21.098,false,0.0,1.0,SLICES,0.0,364.0,1522.976,,Τυρί Ημίσκληρο Light,23.0,0.0,AB,0.0,30.0,1.0
947,2024-08-22 14:24:38.872,2024-09-04 12:14:21.118,false,1.0,1.0,SLICES,0.0,161.0,673.624,,Τυρί Ημίσκληρο Gouda,20.0,0.0,AB,1.0,8.5,1.0
948,2024-08-22 14:24:38.889,2024-09-04 12:14:21.136,false,0.0,1.0,SLICES,0.0,273.0,1142.232,,Τυρί Mozzarella,28.0,0.0,AB,0.0,18.0,1.0
949,2024-08-22 14:24:38.907,2024-09-04 12:14:21.170,false,0.5,1.0,SLICES,0.0,355.0,1485.3200000000002,,Τυρί Ολλανδίας Μαλακό 18% Λιπαρά,23.0,0.0,AB,0.5,29.0,1.0
950,2024-08-22 14:24:38.924,2024-09-04 12:14:21.191,false,1.5,2.0,TABLESPOONS,0.0,99.0,414.216,,Τυρί Gouda Creamy,16.5,0.0,AB,1.5,3.0,0.97
951,2024-08-22 14:24:38.941,2024-09-04 12:14:21.208,false,4.0,1.0,SLICES,0.0,94.0,393.296,,Γαλοπούλα Ψητή Φέτες,16.0,0.0,AB,1.0,2.0,1.0
952,2024-08-22 14:24:38.968,2024-09-04 12:14:21.226,false,0.0,1.0,SLICES,0.0,190.0,794.96,,Κοτόπουλο Καπνιστό Φέτες,0.0,0.0,AB,0.0,0.0,1.0
953,2024-08-22 14:24:38.986,2024-09-04 12:14:21.243,false,0.0,2.0,TABLESPOONS,0.0,184.0,769.856,,Τυρί Κρέμα Light,19.0,0.0,AB,0.0,12.0,1.1
954,2024-08-22 14:24:39.011,2024-09-04 12:14:21.260,false,0.1,1.0,SLICES,0.0,393.0,1644.3120000000001,,Τυρί Λευκό Ελαφρύ,27.1,0.0,AB,0.1,30.7,1.0
955,2024-08-22 14:24:39.031,2024-09-04 12:14:21.277,false,4.3,1.0,SLICES,0.2,225.0,941.4000000000001,,Τυρί Κεφαλογραβιέρα Αμφιλοχίας,5.4,0.0,AB,4.3,21.0,1.0
956,2024-08-22 14:24:39.053,2024-09-04 12:14:21.295,false,0.3,1.0,TABLESPOONS,0.0,360.35,1507.7044,,Τυρί Κρέμα,24.8,0.0,AB,0.0,27.5,1.1
957,2024-08-22 14:24:39.084,2024-09-04 12:14:21.312,false,0.3,2.0,TABLESPOONS,0.0,366.7,1534.2728,,Τριμμένο Τυρί 4 Τυριά,25.1,0.0,AB,0.0,28.2,0.5
958,2024-08-22 14:24:39.107,2024-09-04 12:14:21.331,false,0.0,2.0,TABLESPOONS,0.0,364.0,1522.976,,Τριμμένο Τυρί Γκούντα,23.0,0.0,AB,0.0,30.0,0.48
959,2024-08-22 14:24:39.167,2024-09-04 12:14:21.370,false,1.65,1.0,SLICES,0.0,179.0,748.936,,Μορταδέλα Χωρίς Γλουτένη,11.6,0.0,AB,5.65,14.0,1.0
960,2024-08-22 14:24:39.201,2024-09-04 12:14:21.387,false,6.0,1.0,SLICES,0.0,216.0,903.744,,Τυρί Ανθότυρο Αμφιλοχίας,12.0,0.0,AB,0.5,16.0,1.0
961,2024-08-22 14:24:39.221,2024-09-04 12:14:21.403,false,0.0,1.0,PIECES,0.0,235.0,983.24,,Λουκάνικα Φρανκφούρτης,31.0,0.0,AB,0.0,11.3,1.0
962,2024-08-22 14:24:39.246,2024-09-04 12:14:21.421,false,20.0,1.0,SLICES,0.0,358.0,1497.872,,Τυρί Γκούντα Χαμηλά Λιπαρά,0.1,0.0,AB,0.1,23.0,1.0
963,2024-08-22 14:24:39.273,2024-09-04 12:14:21.439,false,0.0,1.0,SLICES,0.0,271.0,1133.864,,Τυρί Γκούντα,16.0,0.0,AB,0.0,23.0,1.0
964,2024-08-22 14:24:39.305,2024-09-04 12:14:21.458,false,5.0,1.0,SLICES,0.0,90.0,376.56,,Τυρί Φέτα Λιγότερο Αλάτι,13.0,0.0,AB,1.0,2.0,1.0
965,2024-08-22 14:24:39.327,2024-09-04 12:14:21.477,false,0.1,1.0,SLICES,0.0,272.0,1138.048,,Κοτόπουλο Ψητό Φέτες,32.0,0.0,AB,0.1,16.0,1.0
966,2024-08-22 14:24:39.348,2024-09-04 12:14:21.494,false,5.4,1.0,SLICES,0.0,91.0,380.744,,Τυρί Emmental Χαμηλά Λιπαρά,15.1,0.0,AB,1.2,1.0,1.0
2230,2024-09-05 08:24:12.019,2024-09-05 08:24:12.019,true,82.4,1.0,GRAMS,0.2,304.0,1271.9360000000001,10,Μέλι,0.3,0.0,Inhealion,82.1,0.0,1.0
967,2024-08-22 14:24:39.369,2024-09-04 12:14:21.511,false,6.0,1.0,SLICES,0.0,100.0,418.40000000000003,,Γαλοπούλα Καπνιστή Χωρίς Γλουτένη,14.5,0.0,AB,0.6,2.0,1.0
968,2024-08-22 14:24:39.394,2024-09-04 12:14:21.528,false,6.3,1.0,SLICES,0.0,162.0,677.808,,Γαλοπούλα Βραστή Χωρίς Γλουτένη,9.5,0.0,AB,0.0,11.0,1.0
969,2024-08-22 14:24:39.411,2024-09-04 12:14:21.545,false,0.1,1.0,SLICES,0.0,300.0,1255.2,,Πάριζα Φέτες,26.0,0.0,AB,0.1,22.0,1.0
970,2024-08-22 14:24:39.430,2024-09-04 12:14:21.562,false,3.3,2.0,TABLESPOONS,0.0,190.0,794.96,,Τριμμένο Τυρί Mozzarella,0.0,0.0,AB,7.8,16.0,0.45
971,2024-08-22 14:24:39.452,2024-09-04 12:14:21.582,false,0.1,2.0,TABLESPOONS,0.0,308.0,1288.672,,Τυρί Κρέμα Φρέσκο Light,23.0,0.0,AB,0.1,24.0,1.1
972,2024-08-22 14:24:39.474,2024-09-04 12:14:21.599,false,7.0,1.0,PIECES,0.0,185.0,774.0400000000001,,Μαλακό Τυρί Mini Babybel,10.0,0.0,AB,1.8,13.0,1.0
973,2024-08-22 14:24:39.495,2024-09-04 12:14:21.617,false,0.1,1.0,SLICES,0.0,262.0,1096.208,,Παριζάκι,29.5,0.0,AB,0.1,16.0,1.0
974,2024-08-22 14:24:39.513,2024-09-04 12:14:21.635,false,6.0,1.0,SLICES,0.0,257.0,1075.288,,Τυρί Μαλακό Light Χαμηλά Λιπαρά Φέτες,15.5,0.0,AB,6.0,19.0,1.0
975,2024-08-22 14:24:39.530,2024-09-04 12:14:21.653,false,0.8,1.0,SLICES,0.0,350.2,1465.2368,,Τηγμένο Τυρί Cheddar Φέτες,26.6,0.0,AB,0.8,26.5,1.0
976,2024-08-22 14:24:39.548,2024-09-04 12:14:21.671,false,1.0,1.0,SLICES,2.0,345.0,1443.48,,Τριμμένο Τυρί Σκληρό Δανέζικο,23.0,0.0,AB,1.0,16.0,0.5
977,2024-08-22 14:24:39.570,2024-09-04 12:14:21.687,false,0.6,1.0,SLICES,0.0,261.0,1092.0240000000001,,Σαλάμι Αέρος Φέτες,13.0,0.0,AB,0.6,23.0,1.0
978,2024-08-22 14:24:39.590,2024-09-04 12:14:21.706,false,5.0,1.0,SLICES,0.0,218.0,912.1120000000001,,Τυρί Mozzarella Φρέσκια Βουβαλίσια,9.0,0.0,AB,5.0,18.0,1.0
979,2024-08-22 14:24:39.610,2024-09-04 12:14:21.732,false,0.8,1.0,PIECES,0.0,121.0,506.264,,Τριγωνάκια Γραβιέρα,13.0,0.0,AB,0.3,7.3,1.0
421,2024-08-22 14:24:27.810,2024-09-04 12:14:21.762,false,0.5,1.0,CUPS,1.8,24.0,100.416,,Τόφου Φυσικό Βιολογικό,0.7,0.0,AB,0.5,1.7,1.1
980,2024-08-22 14:24:39.641,2024-09-04 12:14:21.780,false,0.1,1.0,SLICES,0.0,314.0,1313.776,,Σετ Γαλοπούλα Καπνιστή & Τυρί Edam,24.0,0.0,AB,0.1,24.0,1.0
