"id","updated_at","carbs","dietary_fiber","energy_kcal","energy_kj","fat","name","net_carbs","preparation_time_in_minutes","protein","saturated_fats","servings","sugar","total_fats","total_grams"
154,2024-09-10 10:09:58.542,40.076699999999995,4.969691666666667,509.72425000000004,0.0,16.829525,Πιπεριές χρωματιστές γεμιστές με τόνο και κινόα,0.0,60,50.34505000000001,0.16175,3,17.153448333333333,16.829525,340.10833333333335
155,2024-09-10 10:38:41.730,33.337125,15.005031250000002,523.7353125,0.0,28.91634375,Σουφλέ με σολομό,0.0,35,17.317375000000002,0.004812499999999999,4,4.0703125,28.91634375,269.78125
156,2024-09-10 12:33:37.588,12.644,3.0524583333333335,561.43125,0.0,28.326625000000003,Κοτόπουλο με τομάτα,0.0,50,51.34658333333332,0.09525,3,4.922525,28.326625000000003,431.8333333333333
157,2024-09-10 13:15:06.829,103.76300000000002,7.302458333333333,759.2354166666665,0.0,4.117791666666666,Ρεβύθια με σπανάκι,0.0,90,17.705499999999997,0.30641666666666667,3,7.330933333333334,4.117791666666666,455.625
160,2024-09-11 07:09:56.801,27.977125000000004,7.2233125,486.92474999999996,0.0,12.152687499999999,"Τηγανιά κοτόπουλο με σάλτσα κρασιού, μανιτάρια και πιπεριές",0.0,45,63.68933749999999,0.142125,4,10.62083125,12.152687499999999,544.275
166,2024-09-12 09:01:03.536,42.931050000000006,1.8975374999999999,514.7263750000001,0.0,24.080287500000004,Γαρίδες με σκόρδο και λεμόνι,0.0,10,31.551575000000003,0.052625000000000005,2,6.2861725,24.080287500000004,314.4125
162,2024-09-11 07:26:58.894,59.241200000000006,9.8924,520.0205000000001,0.0,24.8909,Σαλάτα με μοτσαρέλα και αβοκάντο,0.0,10,19.175050000000002,5.635000000000001,2,25.903865,24.8909,342.65
163,2024-09-11 07:40:37.609,13.467799999999999,4.266725,87.21075,0.0,2.990725,Κολοκύθια τηγανητά με σάλτσα,0.0,25,4.430366666666667,0.27508333333333335,3,9.290326666666667,2.990725,378.55833333333334
164,2024-09-11 07:43:58.017,28.80113333333334,13.600058333333335,141.87741666666668,0.0,2.990725,Μελιτζάνες τηγανητές με σάλτσα,0.0,25,5.230366666666667,0.40841666666666665,3,16.623660000000005,2.990725,511.55833333333334
165,2024-09-11 07:49:16.155,26.201133333333335,8.950058333333335,150.37741666666668,0.0,3.240725,Τηγανητές πιπεριές με σάλτσα,0.0,25,4.730366666666667,0.35841666666666666,3,17.32366,3.240725,461.89166666666665
224,2024-09-18 11:10:48.423,61.1377,3.3199,499.67650000000003,0.0,23.1724,Σαλάτα του Καίσαρα,0.0,30,8.30055,0.0,1,17.331364999999998,23.1724,355.54999999999995
168,2024-09-11 09:46:42.364,41.96345,8.274337500000001,990.9961249999999,0.0,73.1388375,Μακαρόνια με σάλτσα μανιταριών,0.0,30,44.31930000000001,0.238875,2,5.101239999999999,73.1388375,441.5875
